# AC-02.3 -- per-member disposition over the derived defect set.
# Columns: id <TAB> disposition <TAB> page-or-reason <TAB> quote
# disposition is one of: stated | not-reader-reachable   (the criterion's own two)
# A member with NO ROW is undispositioned and the checker refuses. That is
# deliberate: a reader-reachable defect not yet stated in the docs is WORK, and
# it must be visible as work rather than absorbed by a third token.
# Authored by dc, 2026-08-31. Every `stated` row is verified against page bytes.
0011	stated	docs/known-defects.md	intent#0011
0012	not-reader-reachable	multi-node -- ws hygiene and the whiteboard header format are the five-node protocol, not a single-user workflow	
0016	not-reader-reachable	not-in-published-build -- driven: .claude/settings.json after `claude upgrade --apply` carries no absolute path.	
0017	not-reader-reachable	register-authoring -- the AT reference grammar is authored in canon by a maintainer, not met by a reader following the docs	
0024	not-reader-reachable	internal-tooling -- a WP-scoped at lint/ac gate is driven by the parity instruments; no published page routes a reader to a scoped --fix	
0035	not-reader-reachable	v2-estate -- the row survives on the v2 layer alone by its own closure note; a v3 reader has no v2 layer	
0038	not-reader-reachable	internal-tooling -- the exit-code contract is consumed by the pre-commit gate, not by a reader	
0040	not-reader-reachable	post-cut-subject -- st_prefix was fixed before the cut; the closure records a real fix shipped	
0043	not-reader-reachable	internal-tooling -- the UserPromptSubmit gate's exit code is hook infrastructure a reader never invokes	
0052	not-reader-reachable	register-authoring -- WorkPackage.scope's ratified machine is a design-register artefact	
0059	not-reader-reachable	internal-tooling -- parity check instruments and their execution sites are the estate's own rig	
0064	not-reader-reachable	internal-tooling -- flag_reachability is a renderer-internal wiring rule with no reader-facing surface	
0065	not-reader-reachable	no-door -- doctor has no acknowledgement mechanism to find; nothing in the docs or --help offers one to look for	
0066	stated	docs/known-defects.md	intent#0066
0067	not-reader-reachable	not-in-published-build -- driven with a MODULES.md present: `modules find intent_helpers` RETURNS THE ROW in v3.0.0. The recorded parity gap is not in this build.	
0068	not-reader-reachable	register-authoring -- a constraint on how lang init must be BUILT, not a behaviour a reader meets	
0069	stated	docs/known-defects.md	intent#0069
0072	not-reader-reachable	internal-tooling -- intent/.backup/db is estate incident-recovery state	
0073	not-reader-reachable	internal-tooling -- the swift critic arm is a gate rule pack; a reader following the docs does not arm critics	
0074	not-reader-reachable	internal-tooling -- critic coverage messaging is the pre-commit gate's surface	
0075	not-reader-reachable	internal-tooling -- view_skew_check is a parity instrument; no published page or --help routes a reader to it	
0076	not-reader-reachable	internal-tooling -- IN-EX-TEST-001's greppable proxy is a rule-library authoring concern	
0077	not-reader-reachable	not-in-published-build -- driven in a keg-initialised tree: `claude upgrade --apply` writes CLAUDE.md (3509 bytes), .claude/settings.json and AGENTS.md. The unwired claim is not true of v3.0.0.	
0079	not-reader-reachable	not-in-published-build -- driven against the v3.0.0 keg: st new writes acceptance.md AND info.md there. The defect arrived after the tag.	
0080	stated	docs/known-defects.md	intent#0080
0082	stated	docs/known-defects.md	intent#0082
